periode_data,wilayah,kecamatan,kelurahan,nama_tps,jenis_tps,alamat
2024,Kota Adm. Jakarta Timur,Cakung,Penggilingan,TPS PIK 2,TPS 3R,PIK 2 pengiilingan
2023,Jakarta Timur,Cakung,Penggilingan,TPS Penggilingan RW  9 RT  1,Tipe 1,Perum Aneka Elok RW  09
2023,Jakarta Timur,Cakung,Ujung Menteng,TPS Perum Taman Modern,Tipe 2,Perum Taman Modern
2023,Jakarta Timur,Cakung,Pulogebang,TPS Walikota,Tipe 3,Walikota
2023,Jakarta Timur,Cakung,Ujung Menteng,TPS RW  05,Tipe 4,Jl  Rawa Kuning
2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,TPS 3R Rawasari,TPS 3R,Komplek Perkantoran Rawa Kerbau
2023,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,DIPO Rawa Kerbo,Tipe 1,Jl  Rawasari Sel
2023,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,Cempaka Putih Barat 2,Tipe 4,Jl  Cempaka Putih Barat 2
2025,KOTA ADM. JAKARTA BARAT,Cengkareng,CENGKARENG BARAT,TPS 3R BAMBU LARANGAN,TPS 3R,JL. BINA SERASIH RT 05 RW 05 KELURAHAN CENGKARENG BARAT KECAMATAN CENGKARENG
2023,Jakarta Barat,Cengkareng,Cengkareng Barat,TPS RW  5 Cengkareng  Bambu Larangan,Tipe 1,Jl  Bina Serasih III
2023,Jakarta Barat,Cengkareng,Cengkareng Timur,TPS RW  11,Tipe 4,Jl  Kayu besar dalam
2023,Jakarta Selatan,Cilandak,Gandaria Selatan,TPS Poncol,Tipe 1,Jl  Poncol Gandaria Selatan
2023,Jakarta Selatan,Cilandak,Lebak Bulus,TPS Perumahan Karinda Indah,Tipe 2,Jl  Karang Tengah Raya RT  13 RW  3  Lb  Bulus  Kec  Cilandak
2023,Jakarta Selatan,Cilandak,Perbatasan Kel  Cilandak Barat dan Kel  Lebak Bulus,TPS Balong,Tipe 4,Jl  Gunung Balong Kel  Lebak Bulus
2025,KOTA ADM. JAKARTA UTARA,Cilincing,SEMPER BARAT,TPS 3R ASRAMA SEMPER,TPS 3R,"RT 6, RW.3, SEMPER BAR., KEC. CILINCING, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA"
2023,Jakarta Utara,Cilincing,Semper Barat,TPS RW  15 Semper Barat,Tipe 1,Jl  Raya Cilincing RW  15
2023,Jakarta Utara,Cilincing,Rorotan,TPS RW  04 Rorotan,Tipe 2,Jl  Rorotan II No 8
2023,Jakarta Utara,Cilincing,Semper Barat,TPS RW  01 Semper Barat,Tipe 4,Jl  Belibis IV
2023,Jakarta Timur,Cipayung,Bambu Apus,TPS RW  04 Bina Asri Nusantara,Tipe 1,Komplek Perum Taman Mini RT  08 RW  04
2023,Jakarta Timur,Cipayung,Cilangkap,BPOM,Tipe 2,Jl  Assyafiyah
2023,Jakarta Timur,Cipayung,Cilangkap,TPS Mabes AL,Tipe 3,Komplek Mabes AL
2023,Jakarta Timur,Cipayung,Setu,TPS RT  04 RW  05 No  95,Tipe 4,Jl  H  Karim RT  04 RW  05
2024,Kota Adm. Jakarta Timur,Ciracas,Ciracas,TPS Ciracas RW  9 RT  1,TPS 3R,Jl  Pule Komplek Dinas Kebersihan Ciracas
2023,Jakarta Timur,Ciracas,Susukan,TPS Susukan RW  6 RT  10,Tipe 1,Jl  H  Baping
2023,Jakarta Timur,Ciracas,Kelapa Dua Wetan,TPS Manunggal,Tipe 2,Jl  Manunggal
2023,Jakarta Timur,Ciracas,Susukan,TPS Pom Bensin,Tipe 3,Jl  Supriyadi RW  03
2023,Jakarta Timur,Ciracas,Ciracas,TPS RW  03,Tipe 4,Gg  Hanafi Jl  Raya Centex
2024,Kota Adm. Jakarta Timur,Duren Sawit,Pondok Kelapa,TPS Pondok Kelapa RW  2 RT  2,TPS 3R,Jl  H  Naman RT  02 RW  02 Kel  Pondok Kelapa
2023,Jakarta Timur,Duren Sawit,Pondok Kelapa,TPS Pondok Kelapa RW  09 RT  03,Tipe 1,Jl  Taman Malaka Selatan RT  3 RW  9 Kel  Pondok Kelapa
2023,Jakarta Timur,Duren Sawit,Pondok Kelapa,TPS H  Ammar RW  08,Tipe 2,Jl  H  Ammar RT  006 RW  008 Kel  Pondok Kelapa
2023,Jakarta Timur,Duren Sawit,Duren Sawit,TPS RW  06 Abadi,Tipe 4,Jl  Abadi Komplek Abadi RW  06 Kel  Duren Sawit
2024,Kota Adm. Jakarta Pusat,Gambir,Duri Pulo,TPS 3R Ketapang,TPS 3R,Jl  KH  Zainul Arifin No  67
2023,Jakarta Pusat,Gambir,Cideng,TPS Tanjung Selor,Tipe 1,Jl  Tanjung Selor
2023,Jakarta Pusat,Gambir,Gambir,TPS Kantor Walikota,Tipe 2,Jl  Tanah Abang 1
2023,Jakarta Pusat,Gambir,Duri Pulo,TPS RW  07 DAN 08,Tipe 3,Jl  Subur Baru
2023,Jakarta Pusat,Gambir,Cideng,TPS Asrama Polisi RW  09,Tipe 4,Jl  Cideng Barat
2023,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,TPS RW  03,Tipe 1,RT  09   RW  03 Tanjung Duren Utara
2023,Jakarta Barat,Grogol Petamburan,Jelambar,TPS Kembar,Tipe 3,Jl  Jelambar No  11
2023,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,TPS RW  05,Tipe 4,Loksem Pasar Kopro
2025,KOTA ADM. JAKARTA SELATAN,Jagakarsa,LENTENG AGUNG,TPS 3R JOE JAGAKARSA,TPS 3R," JL. JOE KELAPA TIGA NO 56 RT 7 RW 1 LENTENG AGUNG KEC. JAGA KARSA, JAKARTA SELATAN "
2023,Jakarta Selatan,Jagakarsa,Lenteng Agung,TPS RW  08,Tipe 1,Jl  Raya Lenteng Agung Timur
2023,Jakarta Selatan,Jagakarsa,Srengseng Sawah,TPS Setu Babakan,Tipe 2,Unit Pengelola Kawasan Perkampungan Budaya Betawi Setu Babakan
2023,Jakarta Selatan,Jagakarsa,Lenteng Agung,TPS Asrama Lenteng Agung,Tipe 3,Jalan Camat Gabun  Asrama Suku Dinas Lingkungan Hidup Kota Adm  Jakarta Selatan
2023,Jakarta Selatan,Jagakarsa,Srengseng Sawah,TPS Setu Babakan,Tipe 4,RW  08 Setu Babakan Kelurahan Srengseng Sawah
2023,Jakarta Timur,Jatinegara,Balimester,TPS Bali Mester RW  1 RT  11 TPS 3R,Tipe 1,TPS Kolong Bali Mester RW  1 RT  11
2023,Jakarta Timur,Jatinegara,Cipinang Muara,TPS LPS Cipinang Elok RW  10,Tipe 2,Jl Cipinang Elok Blok Ag No  18
2023,Jakarta Timur,Jatinegara,Cipinang Besar Utara,TPS Gg  Remaja l,Tipe 3,RW  03
2023,Jakarta Timur,Jatinegara,Cipinang Besar Selatan,TPS LPS BKT  Sementara,Tipe 4,Jl  Basuki Rahmat
2023,Jakarta Pusat,Johar Baru,Johar Baru,TPS Johar Baru,Tipe 1,Jl  Johar Baru Utara 1
2023,Jakarta Pusat,Johar Baru,Galur,TPS Gembrong,Tipe 4,Jl  Rawa Selatan I
2025,KOTA ADM. JAKARTA BARAT,Kalideres,TEGAL ALUR,TPS 3R TEGAL ALUR,TPS 3R,"JL. KOMPLEK KEBERSIHAN, RT 3 RW 4  KEC. KALIDERES JAKARTA BARAT"
2023,Jakarta Barat,Kalideres,Kamal,TPS RW  10,Tipe 1,Jl  Perumahan Citra 5
2023,Jakarta Barat,Kalideres,Kalideres,TPS RW  15,Tipe 2,Perumahan Citra 1
2023,Jakarta Barat,Kalideres,Kamal,TPS RW  05,Tipe 4,Jl  Sahabat Kebun 200
2023,Jakarta Selatan,Kebayoran Baru,Rawa Barat,TPS Rawa Barat,Tipe 1,Jl  Bakti 1 Kel  Rawa Barat
2023,Jakarta Selatan,Kebayoran Baru,Gunung,TPS PD Pasar Jaya Mayestik,Tipe 2,Jl  Tebah III No  3  Kel  Gunung
