id,name,wilayah,kecamatan,kelurahan,jenis_tps,latitude,longitude,alamat
1014,Dipo PTB,Jakarta Timur,Duren Sawit,Tidak Diketahui,TIPE 2,-6.22263946672,106.914701071,pengangkutan 3 hari sekali
340,TPS Komp. Seskoal,Jakarta Selatan,Kebayoran Lama,CIPULIR,TIPE 4,-6.24260125439,106.774247826,1
1153,container bekangdam jaya,Jakarta Timur,Pasar Rebo,GEDONG,TIPE 3,-6.33062862088,106.844838939,untuk pengangkutan bisa sebulan sekali
1336,Pool Gerobak Perum Mutiara,Jakarta Selatan,Jagakarsa,Tidak Diketahui,TIPE 4,-6.327617,106.81893, 
1155,Jl Karya Bakti Rt 09/01,Jakarta Timur,Pasar Rebo,Tidak Diketahui,TIPE 4,-6.326067,106.860901,kendaraan datang seminggu 2x
196,TPS Rusun Embrio,Jakarta Utara,Cilincing,Tidak Diketahui,TIPE 2,-6.13523,106.9284,"timbulan sampah <1 ton = 0,5 ton"
1161,TPS Selayar,Jakarta Timur,Pasar Rebo,Tidak Diketahui,TIPE 2,-6.3210508,106.8519219,Pengangkutan seminggu satu kali
366,TPS Gateway,Jakarta Selatan,Pesanggrahan,Tidak Diketahui,TIPE 4,-6.237357921,106.747990224,0
193,TPS DOOR TO DOOR RW 08,Jakarta Utara,Penjaringan,PLUIT,TIPE 4,-6.1175,106.766389, 
860,Full gerobak Rw 03,Jakarta Barat,Grogol Petamburan,GROGOL,TIPE 4,-6.1618547541,106.781965669,Sampahnya sedikit ditambah sampah lintasan angkut selasa kamis sabtu
324,TPS Rw. 013 Kel Grogol Utara,Jakarta Selatan,Kebayoran Lama,GROGOL UTARA,TIPE 3,-6.21459670779,106.784248729,1
589,Bak Beton RW 05,Jakarta Timur,Cakung,UJUNG MENTENG,TIPE 4,-6.19109956049,106.966771181, 
1180,Jl.Buah,Jakarta Timur,Pasar Rebo,PEKAYON,TIPE 2,-6.34141225,106.87051233,Pengangkutan 6 hari
1280,Poll Grobak RW 02,Jakarta Barat,Taman Sari,KRUKUT,TIPE 3,-6.154961,106.813721,Pengangkutan 2 Kali Seminggu
377,TPS RW. 007 Petukangan Utara Komplek Taman Alfa Indah (Door to Door),Jakarta Barat,Kembangan,Tidak Diketahui,TIPE 4,-6.22239028,106.7529613,0
71,TPS RW 009 KGT (Transit),Jakarta Utara,Kelapa Gading,KELAPA GADING TIMUR,TIPE 4,-6.168435,106.906004, 
1257,TPS Pool Gerobak,Jakarta Barat,Cengkareng,Tidak Diketahui,TIPE 4,-6.149099,106.76174,Pengakutan 3 minggu sekali
1148,polsek ciracas,Jakarta Timur,Ciracas,RAMBUTAN,TIPE 4,-6.290262,106.871767,seminggu sekali
371,SMK 57,Jakarta Selatan,Pasar Minggu,RAGUNAN,TIPE 4,-6.286061,106.825992,Pengangkutan 6x seminggu
170,TPS RUSUN WADUK PLUIT RW 17,Jakarta Utara,Penjaringan,Tidak Diketahui,TIPE 1,-6.109167,106.799444,2 HARI 1X PENGANGKUTAN
